"","name","position","height","weight","birthday","birthplace","college","Player_id","first_year","last_year"
"5757","JuJu Smith-Schuster","WR","6-1",215,"1996-11-22","in Long Beach, CA","USC (College Stats)","SmitJu00",2017,2021
"5758","James Smith-Williams","DL","6-4",265,"1997-07-30","in Raleigh, NC","North Carolina St. (College Stats)","SmitJa08",2020,2021
"5759","Fish Smithson","S","5-11",196,"1994-03-18","in Baltimore, MD","Kansas","SmitFi00",2017,2017
"5760","Dawuane Smoot","DE","6-3",264,"1995-03-02","in Groveport, OH","Illinois (College Stats)","SmooDa00",2017,2021
"5761","Fred Smoot","DB","5-11",174,"1980-07-21","in Jackson, MS","Mississippi St. (College Stats)","SmooFr20",2001,2009
"5762","Durham Smythe","TE","6-6",246,"1995-08-09","in Philadelphia, PA","Notre Dame (College Stats)","SmytDu00",2018,2021
"5763","Willie Snead","WR","5-11",200,"1992-10-17","in Winter Park, FL","Ball St. (College Stats)","SneaWi00",2015,2021
"5764","Chris Snee","G","6-3",305,"1982-01-18","in Edison, NJ","Boston Col.","SneeCh20",2004,2013
"5765","L'Jarius Sneed","S","6-0",189,"1997-01-21","in Minden, LA","Louisiana Tech (College Stats)","SneeLJ00",2020,2021
"5766","Benny Snell Jr.","RB","5-10",224,"1998-02-26","in Columbus, OH","Kentucky (College Stats)","SnelBe00",2019,2021
"5767","Jason Snelling","RB","5-11",235,"1983-12-29","in Toms River, NJ","Virginia (College Stats)","SnelJa00",2007,2013
"5768","David Snow","C","6-4",303,"1989-11-09","in Longview, TX","Texas","SnowDa00",2012,2012
"5769","Justin Snow","TE","6-3",245,"1976-12-21","in Fort Worth, TX","Baylor","SnowJu00",2000,2012
"5770","Adam Snyder","T-G","6-6",325,"1982-01-30","in Fullerton, CA","Oregon","SnydAd20",2005,2014
"5771","Kevin Snyder","LB","6-2",245,"1992-07-25","in Mechanicsburg, PA","Rutgers","SnydKe00",2017,2017
"5772","Vic So'oto","LB","6-3",263,"1987-01-01","in Oceanside, CA","BYU (College Stats)","SootVi00",2011,2013
"5773","Matt Sokol","TE","6-6",260,"1995-11-09","in Rochester, MI","Michigan St.","SokoMa00",2020,2020
"5774","Kristjan Sokoli","DT","6-5",300,"1991-09-24","in Bloomfield, NJ","Buffalo (College Stats)","SokoKr00",2015,2015
"5775","Nate Solder","OL","6-8",325,"1988-04-12","in Denver, CO","Colorado (College Stats)","SoldNa00",2011,2021
"5776","Paul Soliai","DT","6-4",344,"1983-12-30","in Orange County, CA","Utah (College Stats)","SoliPa99",2007,2016
"5777","Scott Solomon","DE","6-3",262,"1988-11-05","in San Antonio, TX","Rice (College Stats)","SoloSc00",2012,2015
"5778","Isaac Sopoaga","DT","6-2",330,"1981-09-04","in Pago Pago, American Samoa","College of the Canyons (CA), Hawaii","SopoIs20",2005,2013
"5779","Daniel Sorensen","S","6-2",200,"1990-03-05","in Riverside, CA","BYU (College Stats)","SoreDa01",2014,2021
"5780","Nick Sorensen","DB","6-3",210,"1978-07-31","in Winter Haven, FL","Virginia Tech (College Stats)","SoreNi20",2001,2010
"5781","Jim Sorgi","QB Throws: Right","6-5",196,"1980-12-03","in Fraser, MI","Wisconsin (College Stats)","SorgJi00",2004,2009
"5782","Dezmen Southward","SS","6-2",208,"1990-10-01","in Sunrise, FL","Wisconsin (College Stats)","SoutDe00",2014,2017
"5783","Bradley Sowell","T","6-6",277,"1989-06-06","in Hernando, MS","Mississippi (College Stats)","SoweBr00",2012,2019
"5784","Stephen Spach","TE","6-4",260,"1982-07-18","in Fresno, CA","Fresno St. (College Stats)","SpacSt00",2005,2012
"5785","Ryan Spadola","WR","6-3",200,"1991-02-15","in Howell, NJ","Lehigh","SpadRy00",2013,2013
"5786","Matt Spaeth","TE","6-7",270,"1983-11-24","in St. Michael, MN","Minnesota (College Stats)","SpaeMa00",2007,2015
"5787","Martrell Spaight","OLB","6-0",243,"1993-08-05","in Little Rock, AR","Arkansas (College Stats)","SpaiMa00",2015,2018
"5788","Quinton Spain","OG","6-4",330,"1991-08-07","in Petersburg, VA","West Virginia (College Stats)","SpaiQu00",2015,2021
"5789","Chad Spann","RB","5-9",198,"1988-08-08","in Indianapolis, IN","Northern Illinois (College Stats)","SpanCh00",2011,2013
"5790","Breeland Speaks","DE","6-3",285,"1995-12-18","in Jackson, MS","Mississippi (College Stats)","SpeaBr00",2018,2018
"5791","Marcus Spears","DE","6-4",315,"1983-03-08","in Baton Rouge, LA","LSU (College Stats)","SpeaMa21",2005,2013
"5792","Quinton Spears","LB","6-4",234,"1988-05-11","in Montgomery, TX","Prairie View A&M","SpeaQu00",2011,2011
"5793","E.J. Speed","LB","6-3",224,"1995-06-01","in Fort Worth, TX","Tarleton St.","SpeeEJ00",2019,2021
"5794","Akeem Spence","DT","6-1",303,"1991-11-29","in Fort Walton Beach, FL","Illinois (College Stats)","SpenAk00",2013,2020
"5795","Noah Spence","DE","6-2",251,"1994-01-08","in Harrisburg, PA","Ohio St., East. Kentucky (College Stats)","SpenNo00",2016,2019
"5796","Sean Spence","LILB","5-11",231,"1990-06-07","in Miami, FL","Miami (FL) (College Stats)","SpenSe00",2014,2017
"5797","Anthony Spencer","DE","6-3",261,"1984-01-23","in Fort Wayne, IN","Purdue (College Stats)","SpenAn99",2007,2014
"5798","Chris Spencer","C","6-3",308,"1982-03-28","in Madison, MS","Mississippi","SpenCh21",2005,2014
"5799","Diontae Spencer","WR","5-8",170,"1992-03-19","in New Iberia, LA","McNeese St.","SpenDi00",2019,2021
"5800","Evan Spencer","WR","6-2",208,"1993-05-26","in Vernon Hills, IL","Ohio St. (College Stats)","SpenEv00",2015,2015
"5801","Shawntae Spencer","DB","6-0",190,"1982-02-22","in Rankin, PA","Pittsburgh (College Stats)","SpenSh20",2004,2012
"5802","Kory Sperry","TE","6-4",242,"1985-04-10","in Pueblo, CO","Colorado St. (College Stats)","SperKo00",2009,2013
"5803","Amari Spievey","DB","6-0",190,"1988-04-15","in Middleton, CT","Iowa (College Stats)","SpieAm99",2010,2012
"5804","Brandon Spikes","LB","6-3",250,"1987-09-03","in Shelby, NC","Florida (College Stats)","SpikBr99",2010,2016
"5805","Takeo Spikes","LB","6-2",242,"1976-12-17","in Augusta, GA","Auburn (College Stats)","SpikTa00",1998,2012
"5806","Robert Spillane","LB","6-1",229,"1995-12-14","in Oak Park, IL","Western Michigan (College Stats)","SpilRo00",2018,2021
"5807","C.J. Spiller","RB","5-11",194,"1987-08-05","in Lake Butler, FL","Clemson (College Stats)",NA,2010,2017
"5808","C.J. Spillman","DB","6-0",192,"1986-05-06","in Louisville, KY","Marshall (College Stats)","SpilCJ99",2009,2014
"5809","Austin Spitler","LB","6-3",244,"1986-10-26","in Dayton, OH","Ohio St. (College Stats)","SpitAu99",2010,2013
"5810","Jason Spitz","G","6-3",298,"1982-12-19","in Boardman, OH","Louisville (College Stats)","SpitJa20",2006,2011
"5811","Jason Spriggs","OT","6-6",301,"1994-05-17","in Elkhart, IN","Indiana (College Stats)","SpriJa00",2016,2021
"5812","Shawn Springs","DB","6-0",204,"1975-03-11","in Williamsburg, VA","Ohio St. (College Stats)","SpriSh00",1997,2009
"5813","Jeremy Sprinkle","TE","6-5",252,"1994-08-10","in Pine Bluff, AR","Arkansas (College Stats)","SpriJe00",2017,2021
"5814","Darren Sproles","RB","5-6",190,"1983-06-20","in Waterloo, IA","Kansas St. (College Stats)","SproDa00",2005,2019
"5815","Micheal Spurlock","WR","5-11",210,"1983-01-31","in Indianola, MS","Mississippi (College Stats)","SpurMi00",2006,2014
"5816","Damion Square","DE","6-2",293,"1989-02-06","in Houston, TX","Alabama (College Stats)","SquaDa00",2013,2021
"5817","Benjamin St-Juste","DB","6-3",200,"1997-09-08","in Montreal, Quebec","Michigan, Minnesota (College Stats)","StJuBe00",2021,2021
"5818","Amon-Ra St. Brown","WR","6-0",197,"1999-10-24","in Anaheim Hills, CA","USC (College Stats)","StxxAm00",2021,2021
"5819","Equanimeous St. Brown","WR","6-5",214,"1996-09-30","in Placentia, CA","Notre Dame (College Stats)",NA,2018,2021
"5820","John St. Clair","T","6-6",320,"1977-07-15","in Roanoke, VA","Virginia",NA,2002,2010
"5821","Brad St. Louis","TE","6-3",243,"1976-08-19","in Waverly, MO","Missouri State","StLoBr00",2000,2009
"5822","Tyree St. Louis","T","6-5",315,"1997-08-05","in Tampa, FL","Miami (FL) (College Stats)","StLoTy01",2020,2020
"5823","Brian St. Pierre","QB","6-3",224,"1979-11-28","in Salem, MA","Boston Col. (College Stats)",NA,2004,2010
"5824","Zac Stacy","RB","5-9",216,"1991-04-09","in Centreville, AL","Vanderbilt (College Stats)","StacZa00",2013,2015
"5825","Daimion Stafford","FS","6-0",221,"1991-02-18","in Riverside, CA","Nebraska (College Stats)","StafDa00",2013,2016
"5826","Matthew Stafford","QB Throws: Right","6-3",220,"1988-02-07","in Tampa, FL","Georgia (College Stats)","StafMa00",2009,2021
"5827","Joe Staley","T","6-5",295,"1984-08-30","in Rockford, MI","Central Michigan (College Stats)","StalJo20",2007,2019
"5828","Donte' Stallworth","WR","6-0",197,"1980-11-10","in Sacramento, CA","Tennessee (College Stats)","StalDo00",2002,2012
"5829","Taylor Stallworth","DT","6-2",305,"1995-08-18","in Mobile, AL","South Carolina (College Stats)","StalTa00",2018,2021
"5830","Josh Stamer","LB","6-2",238,"1977-10-11","in Sutherland, IA","South Dakota","StamJo20",2003,2009
"5831","Isaiah Stanback","WR","6-3",216,"1984-08-16","in Seattle, WA","Washington (College Stats)","StanIs00",2007,2012
"5832","John Standeford","WR","6-4",200,"1982-04-15","in Monrovia, IN","Purdue (College Stats)","StanJo00",2008,2009
"5833","Julian Stanford","LB","6-1",230,"1990-09-02","in Bloomfield, CT","Wagner","StanJu00",2012,2021
"5834","R.J. Stanford","CB","5-10",180,"1988-05-06","in Lancaster, CA","Utah",NA,2011,2014
"5835","Derek Stanley","WR","6-0",173,"1985-08-27","in Verona, WI","Wisconsin–Whitewater","StanDe00",2007,2009
"5836","Jayson Stanley","CB","6-2",207,"1997-04-24","in Fairburn, GA","Georgia","StanJa00",2020,2020
"5837","Montavious Stanley","DT","6-2",302,"1981-10-10","in Albany, GA","Louisville (College Stats)","StanMo20",2006,2009
"5838","Ronnie Stanley","OT","6-6",315,"1994-03-18","in Las Vegas, NV","Notre Dame (College Stats)","StanRo00",2016,2021
"5839","Drew Stanton","QB Throws: Right","6-3",226,"1984-05-07","in Okemos, MI","Michigan St. (College Stats)","StanDr00",2008,2017
"5840","Johnny Stanton","FB","6-2",250,"1994-09-07","in Rancho Santa Margarita, CA","UNLV","StanJo02",2020,2021
"5841","Justin Staples","DL","6-4",245,"1989-12-10","in Chicago, IL","Illinois (College Stats)","StapJu00",2014,2016
"5842","James Starks","RB","6-1",203,"1986-02-25","in Niagara Falls, NY","Buffalo (College Stats)","StarJa00",2010,2016
"5843","Max Starks","T","6-8",345,"1982-01-10","in Orlando, FL","Florida (College Stats)","StarMa21",2004,2013
"5844","Randy Starks","DT","6-4",305,"1983-12-14","in Petersburg, VA","Maryland","StarRa20",2004,2015
"5845","Scott Starks","DB","5-9",178,"1983-06-27","in St. Louis, MO","Wisconsin (College Stats)","StarSc20",2005,2009
"5846","Jawanza Starling","SS","6-1",202,"1991-06-21","in Tallahassee, FL","USC (College Stats)","StarJa01",2013,2013
"5847","Tyler Starr","OLB","6-4",250,"1991-01-25","in Little Rock, AR","South Dakota","StarTy00",2015,2015
"5848","Aaron Stecker","RB","5-10",213,"1975-11-13","in Green Bay, WI","Wisconsin, Western Illinois (College Stats)","StecAa00",2000,2009
"5849","Terence Steele","T","6-6",310,"1997-06-04","in Cibolo, TX","Texas Tech (College Stats)","SteeTe01",2020,2021
"5850","Anthony Steen","OG","6-3",314,"1990-05-09","in Lambert, MS","Alabama (College Stats)","SteeAn00",2016,2017
"5851","Robert Steeples","CB","6-1",194,"1989-11-27","in St. Louis, MO","Memphis (College Stats)","SteeRo00",2013,2013
"5852","Eric Steinbach","G","6-6",295,"1980-04-04","in New Lenox, IL","Iowa (College Stats)","SteiEr20",2003,2010
"5853","David Steinmetz","T","6-8",321,"1995-03-01","in Grafton, MA","Purdue","SteiDa00",2020,2021
"5854","Craig Steltz","DB","6-1",211,"1986-05-07","in Metairie, LA","LSU (College Stats)","StelCr99",2008,2013
"5855","Logan Stenberg","OL","6-6",315,"1997-03-18","in Madison, AL","Kentucky (College Stats)","StenLo00",2020,2021
"5856","Shamar Stephen","DT","6-5",310,"1991-02-25","in Brookville, NY","Connecticut (College Stats)","StepSh00",2014,2021
"5857","Brandon Stephens","CB","6-1",215,"1997-12-29","in Plano, TX","UCLA, SMU (College Stats)","StepBr01",2021,2021
"5858","Emmanuel Stephens","DL","6-3",255,"1987-02-17","in Houston, TX","Mississippi (College Stats)","StepEm00",2011,2012
"5859","Linden Stephens","CB","6-0",193,"1995-03-21","in Euclid, OH","Cincinnati","StepLi00",2019,2020
"5860","LaRod Stephens-Howling","RB","5-7",180,"1987-04-26","in Johnstown, PA","Pittsburgh (College Stats)","StepLa00",2009,2013
"5861","Donald Stephenson","T","6-5",312,"1988-09-30","in Kansas City, MO","Oklahoma (College Stats)","StepDo00",2012,2017
"5862","Neal Sterling","WR","6-4",257,"1992-01-14","in Belmar, NJ","Monmouth","SterNe00",2015,2018
"5863","Jace Sternberger","TE","6-4",250,"1996-06-26","in Enid, OK","Texas A&M (College Stats)","SterJa00",2019,2020
"5864","Caden Sterns","S","6-1",207,"1999-11-02","in Dallas, TX","Texas (College Stats)","SterCa00",2021,2021
"5865","Zach Sterup","OL","6-9",323,"1992-05-14","in Hastings, NE","Nebraska","SterZa00",2017,2018
"5866","Craig Stevens","TE","6-3",255,"1984-09-01","in San Pedro, CA","California (College Stats)","StevCr00",2008,2015
"5867","Jerramy Stevens","TE","6-7",260,"1979-11-13","in Olympia, WA","Washington (College Stats)","StevJe00",2002,2010
"5868","Tommy Stevens","QB Throws: Right","6-5",235,"1996-12-15","in Indianapolis, IN","Penn St., Mississippi St. (College Stats)","StevTo01",2020,2020
"5869","Rhamondre Stevenson","RB","6-0",227,"1998-02-23","in Las Vegas, NV","Cerritos (CA), Oklahoma (College Stats)","StevRh00",2021,2021
"5870","Tony Steward","OLB","6-0",235,"1992-09-19","in Daytona Beach, FL","Clemson (College Stats)","StewTo01",2015,2015
"5871","ArDarius Stewart","WR","6-0",205,"1993-12-08","in Fultondale, AL","Alabama (College Stats)","StewAr00",2017,2017
"5872","Darian Stewart","DB","5-11",214,"1988-08-04","in Huntsville, AL","South Carolina (College Stats)","StewDa00",2010,2019
"5873","David Stewart","T","6-7",313,"1982-08-28","in Decatur, AL","Mississippi St.","StewDa21",2006,2013
"5874","Grover Stewart","DT","6-4",315,"1993-10-20","in Camilla, GA","Albany State (GA)","StewGr00",2017,2021
"5875","Jeremy Stewart","FB","6-1",230,"1989-02-19","in Baton Rouge, LA","Stanford (College Stats)","StewJe00",2012,2014
"5876","Jonathan Stewart","RB","5-10",240,"1987-03-21","in Fort Lewis, WA","Oregon (College Stats)","StewJo00",2008,2018
"5877","M.J. Stewart","CB","5-11",200,"1995-09-16","in Arlington, VA","North Carolina (College Stats)",NA,2018,2021
"5878","Tony Stewart","TE","6-5",260,"1979-08-09","in Lohne, Lower Saxony","Penn St. (College Stats)","StewTo00",2001,2009
"5879","Easton Stick","QB","6-1",224,"1995-09-15","in Omaha, NE","North Dakota St.","SticEa00",2020,2020
"5880","Jarrett Stidham","QB","6-3",214,"1996-08-08","in Corbin, KY","Auburn (College Stats)","StidJa00",2019,2020
"5881","Devon Still","DT","6-5",305,"1989-07-11","in Camden, NJ","Penn St. (College Stats)","StilDe00",2012,2016
"5882","Kenny Stills","WR","6-1",202,"1992-04-22","in Oceanside, CA","Oklahoma (College Stats)","StilKe00",2013,2021
"5883","Jon Stinchcomb","T","6-5",315,"1979-08-27","in Atlanta, GA","Georgia (College Stats)","StinJo20",2003,2010
"5884","Byron Stingily","OT","6-5",313,"1988-09-09","in Chicago, IL","Louisville","StinBy00",2012,2014
"5885","Aaron Stinnie","G","6-3",312,"1994-02-18","in Charlottesville, VA","James Madison","StinAa00",2018,2021
"5886","Ed Stinson","DE","6-4",287,"1990-02-15","in Homestead, FL","Alabama (College Stats)","StinEd00",2014,2017
"5887","Clint Stitser","K","6-1",200,"1985-05-19","in Reno, NV","Fresno St. (College Stats)","StitCl00",2010,2010
"5888","Luke Stocker","TE","6-5",253,"1988-07-17","in Berea, KY","Tennessee (College Stats)","StocLu00",2011,2021
"5889","Eric Stokes","CB","6-0",194,"1999-03-01","in Covington, GA","Georgia (College Stats)","StokEr00",2021,2021
"5890","Brandon Stokley","WR","6-0",194,"1976-06-23","in Blacksburg, VA","Louisiana (College Stats)","StokBr00",1999,2013
"5891","Jack Stoll","TE","6-4",247,"1998-01-28","in Lone Tree, CO","Nebraska (College Stats)","StolJa00",2021,2021
"5892","Geno Stone","S","5-10",209,"1999-04-19","in New Castle, PA","Iowa (College Stats)","StonGe00",2020,2021
"5893","James Stone","C","6-3",290,"1992-04-26","in Nashville, TN","Tennessee (College Stats)","StonJa02",2014,2017
"5894","Jake Stoneburner","TE","6-3",249,"1989-08-25","in Columbus, OH","Ohio St. (College Stats)","StonJa01",2013,2015
"5895","Dillon Stoner","WR","6-0",196,"1998-02-06","in Tulsa, OK","Oklahoma St. (College Stats)","StonDi00",2021,2021
"5896","Bryan Stork","C","6-4",315,"1990-11-15","in Vero Beach, FL","Florida St. (College Stats)","StorBr00",2014,2015
"5897","Maurice Stovall","WR","6-5",220,"1985-02-21","in Philadelphia, PA","Notre Dame (College Stats)","StovMa00",2006,2012
"5898","Matt Stover","K","5-11",180,"1968-01-27","in Dallas, TX","Louisiana Tech","stovemat01",1991,2009
"5899","Mike Strachan","WR","6-5",224,"1997-08-13","in Freeport, Bahamas","Charleston (WV)","StraMi03",2021,2021
"5900","Rod Streater","WR","6-2",195,"1988-02-09","in Burlington, NJ","Temple (College Stats)","StreRo00",2012,2018
"5901","Devin Street","WR","6-3",200,"1991-03-30","in Bethlehem, PA","Pittsburgh (College Stats)","StreDe00",2014,2016
"5902","Kentavius Street","DT","6-2",287,"1996-05-08","in Greenville, NC","North Carolina St. (College Stats)","StreKe00",2019,2021
"5903","Tommy Streeter","WR","6-5",219,"1989-10-07","in Miami, FL","Miami (FL) (College Stats)","StreTo00",2014,2014
"5904","Chris Streveler","QB","6-1",216,"1995-01-06","in Naperville, IL","Minnesota, South Dakota (College Stats)","StreCh00",2020,2021
"5905","Donald Strickland","DB","5-10",185,"1980-11-24","in San Francisco, CA","Colorado (College Stats)","StriDo20",2003,2011
"5906","Zach Strief","G","6-7",320,"1983-09-22","in Cincinnati, OH","Northwestern (College Stats)","StriZa20",2006,2017
"5907","Justin Strnad","LB","6-3",238,"1996-08-21","","Wake Forest (College Stats)","StrnJu00",2021,2021
"5908","Greg Stroman","CB","6-0",182,"1996-03-08","in Bristow, VA","Virginia Tech (College Stats)","StroGr00",2018,2020
"5909","Jaelen Strong","WR","6-2",220,"1994-01-25","in Philadelphia, PA","Arizona St. (College Stats)","StroJa01",2015,2017
"5910","Kevin Strong","DT","6-4",295,"1996-08-05","in Cleveland, TX","Texas-San Antonio (College Stats)","StroKe00",2019,2021
"5911","Marcus Stroud","DT","6-6",310,"1978-06-25","in Thomasville, GA","Georgia","StroMa01",2001,2010
"5912","Sammie Stroughter","WR","5-9",182,"1986-01-03","in Vallejo, CA","Oregon St. (College Stats)","StroSa00",2009,2012
"5913","Jason Strowbridge","DL","6-4",275,"1996-09-10","in Deerfield Beach, FL","North Carolina (College Stats)","StroJa02",2020,2020
"5914","Grant Stuard","LB","5-11",230,"1998-10-15","in Conroe, TX","Houston (College Stats)","StuaGr00",2021,2021
"5915","Chansi Stuckey","WR","5-10",182,"1983-10-04","in Warner Robins, GA","Clemson (College Stats)","StucCh20",2008,2011
"5916","Darrell Stuckey","S","5-11",212,"1987-06-16","in Kansas City, KS","Kansas (College Stats)","StucDa20",2010,2016
"5917","Kasey Studdard","G","6-0",299,"1984-07-01","in Denver, CO","Texas","StudKa20",2007,2010
"5918","Andy Studebaker","LOLB","6-3",251,"1985-09-16","in Congerville, IL","Wheaton","StudAn99",2008,2015
"5919","Jonathan Stupar","TE","6-3",250,"1984-07-27","in State College, PA","Virginia (College Stats)","StupJo00",2009,2010
"5920","Nathan Stupar","OLB","6-2",240,"1988-03-14","in State College, PA","Penn St. (College Stats)","StupNa01",2013,2019
"5921","Caleb Sturgis","K","5-9",192,"1989-08-09","in St. Augustine, FL","Florida (College Stats)","SturCa00",2013,2018
"5922","Xavier Su'a-Filo","OG","6-4",312,"1991-01-01","in American Fork, UT","UCLA (College Stats)",NA,2014,2021
"5923","Ryan Succop","K","6-2",218,"1986-09-19","in Hickory, NC","South Carolina (College Stats)","SuccRy44",2009,2021
"5924","Nate Sudfeld","QB Throws: Right","6-6",227,"1993-10-07","in Modesto, CA","Indiana (College Stats)","SudfNa00",2017,2020
"5925","Zach Sudfeld","TE","6-7",253,"1989-04-18","in Santa Cruz, CA","Nevada (College Stats)","SudfZa00",2013,2014
"5926","Terrell Suggs","LB-DE","6-3",265,"1982-10-11","in Minneapolis, MN","Arizona St. (College Stats)","SuggTe99",2003,2019
"5927","Ndamukong Suh","DT","6-4",313,"1987-01-06","in Portland, OR","Nebraska (College Stats)","SuhxNd99",2010,2021
"5928","Shaun Suisham","K","6-0",199,"1981-12-29","in Wallaceburg, Ontario","Bowling Green (College Stats)","suishsha01",2005,2014
"5929","Chandon Sullivan","CB","5-11",189,"1996-08-07","in Grenville, SC","Georgia St. (College Stats)","SullCh00",2018,2021
"5930","John Sullivan","C","6-4",312,"1985-08-08","in Mt. Kisco, NY","Notre Dame","SullJo24",2008,2018
"5931","Stephen Sullivan","TE","6-5",248,"1996-11-28","in Donaldsonville, LA","LSU (College Stats)","SullSt00",2020,2020
"5932","Tre Sullivan","S","6-0",200,"1994-12-21","in Takoma Park, MD","Shepherd","SullTr01",2018,2018
"5933","Frank Summers","RB","5-10",240,"1985-09-06","in Oakland, CA","UNLV (College Stats)","SummFr00",2009,2014
"5934","Ty Summers","LB","6-1",241,"1995-12-31","in Plano, TX","TCU (College Stats)","SummTy00",2019,2021
"5935","Nick Sundberg","C","6-1",254,"1987-07-29","in Phoenix, AZ","California (College Stats)","SundNi00",2010,2020
"5936","Vinnie Sunseri","SS","5-11",210,"1991-10-25","in Pittsburgh, PA","Alabama (College Stats)","SunsVi00",2014,2016
"5937","Phillip Supernaw","TE","6-5",255,"1990-01-30","in Nashville, TN","Ouachita Baptist","SupePh00",2013,2017
"5938","Chazz Surratt","LB","6-2",233,"1997-02-16","in Denver, NC","North Carolina (College Stats)","SurrCh00",2021,2021
"5939","Patrick Surtain II","CB","6-2",202,"2000-04-14","in Plantation, FL","Alabama (College Stats)","SurtPa01",2021,2021
"5940","Keaton Sutherland","G","6-5",315,"1997-02-12","in Flower Mound, TX","Texas A&M (College Stats)","SuthKe00",2019,2020
"5941","Cameron Sutton","CB","5-11",188,"1995-02-27","in Jonesboro, GA","Tennessee (College Stats)","SuttCa00",2017,2021
"5942","Courtland Sutton","WR Throws: Right","6-4",216,"1995-10-10","in Brenham, TX","SMU (College Stats)","SuttCo00",2018,2021
"5943","Tyrell Sutton","RB","5-9",190,"1986-12-19","in Akron, OH","Northwestern (College Stats)","SuttTy00",2009,2010
"5944","Will Sutton","DT","6-1",290,"1991-10-03","in Corona, CA","Arizona St. (College Stats)","SuttWi00",2014,2016
"5945","Will Svitek","T","6-6",305,"1982-01-08","in Prague, Czech Republic","Stanford (College Stats)","SvitWi20",2005,2014
"5946","Geoff Swaim","TE","6-4",260,"1993-09-16","in Chico, CA","Texas (College Stats)","SwaiGe00",2015,2021
"5947","Brett Swain","WR","6-1",200,"1985-06-21","in Asheville, NC","San Diego St. (College Stats)","SwaiBr00",2009,2011
"5948","Freddie Swain","WR","6-0",199,"1998-08-04","in Ocala, FL","Florida (College Stats)","SwaiFr00",2020,2021
"5949","Damian Swann","CB","6-0",180,"1992-12-05","in Atlanta, GA","Georgia (College Stats)","SwanDa02",2015,2015
"5950","Travis Swanson","C","6-5",304,"1991-01-30","in Kingwood, TX","Arkansas (College Stats)","SwanTr00",2014,2018
"5951","D.J. Swearinger","FS","5-10",205,"1991-09-01","in Greenwood, SC","South Carolina (College Stats)","SweaDJ00",2013,2020
"5952","Josh Sweat","DE","6-5",265,"1997-03-29","in Chesapeake, VA","Florida St. (College Stats)","SweaJo00",2018,2021
"5953","Montez Sweat","EDGE","6-6",262,"1996-09-04","in Richmond, KY","Mississippi St. (College Stats)","SweaMo00",2019,2021
"5954","Limas Sweed","WR","6-5",220,"1984-12-25","in Grimes County, TX","Texas (College Stats)","SweeLi00",2008,2009
"5955","Tommy Sweeney","TE","6-5",251,"1995-07-01","in Ramsey, NJ","Boston Col. (College Stats)","SweeTo00",2019,2021
"5956","Rod Sweeting","CB","6-0",184,"1990-09-28","in Miami, FL","Georgia Tech (College Stats)","SweeRo01",2013,2013
"5957","J.R. Sweezy","G","6-5",310,"1989-04-08","in Mooresville, NC","North Carolina St. (College Stats)",NA,2012,2020
"5958","D'Andre Swift","RB","5-9",211,"1999-01-14","in Philadelphia, PA","Georgia (College Stats)","SwifDA00",2020,2021
"5959","Ryan Switzer","WR","5-8",185,"1994-11-04","in Charleston, WV","North Carolina (College Stats)","SwitRy00",2017,2019
"5960","Erik Swoope","TE","6-4",255,"1992-05-08","in Lake Elsinore, CA","Miami (FL)","SwooEr00",2015,2018
"5961","Tyrone Swoopes","TE","6-4",254,"1994-11-14","in Stephenville, TX","Texas (College Stats)","SwooTy00",2017,2021
"5962","Stevenson Sylvester","LILB","6-2",225,"1988-07-18","in Las Vegas, NV","Utah (College Stats)","SylvSt99",2010,2013
"5963","Alameda Ta'amu","DT","6-3",348,"1990-08-23","in Alameda, CA","Washington (College Stats)",NA,2013,2014
"5964","Will Ta'ufo'ou","RB","5-11",253,"1986-06-19","in Redwood City, CA","California (College Stats)","TaufWi00",2012,2014
"5965","Teez Tabor","CB","6-0",191,"1995-12-31","in Washington, DC","Florida (College Stats)","TaboTe00",2017,2021
"5966","Tua Tagovailoa","QB Throws: Left","6-1",217,"1998-03-02","in Ewa Beach, HI","Alabama (College Stats)","TagoTu00",2020,2021
"5967","Naufahu Tahi","RB","6-0",254,"1981-10-30","in Fontana, CA","BYU (College Stats)","TahiNa00",2007,2010
"5968","Sione Takitaki","LB","6-1",238,"1995-06-08","in Fontana, CA","BYU (College Stats)","TakiSi00",2019,2021
"5969","Kelly Talavou","DT","6-2",334,"1984-10-04","in Santa Ana, CA","Utah (College Stats)","TalaKe00",2009,2009
"5970","Lorenzo Taliaferro","RB","6-0",229,"1991-12-23","in Yorktown, VA","December 16, 2020 in Williamsburg, VA","TaliLo00",2014,2016
"5971","Aqib Talib","DB","6-1",209,"1986-02-13","in Cleveland, OH","Kansas (College Stats)","TaliAq99",2008,2019
"5972","Julian Talley","WR","6-1",192,"1989-06-09","in Stratford, NJ","Massachusetts","TallJu00",2013,2014
"5973","Ronald Talley","DE","6-3",282,"1986-02-21","in Detroit, MI","Notre Dame, Delaware (College Stats)","TallRo00",2011,2013
"5974","Jacob Tamme","TE","6-4",234,"1985-03-15","in Danvillr, KY","Kentucky (College Stats)","TammJa00",2008,2016
"5975","Keith Tandy","S","5-10",205,"1989-02-12","in Hopkinsville, KY","West Virginia (College Stats)","TandKe00",2012,2018
"5976","Cordrea Tankersley","CB","6-1",200,"1993-11-19","in Beach Island, SC","Clemson (College Stats)","TankCo00",2017,2020
"5977","Ryan Tannehill","QB Throws: Right","6-4",217,"1988-07-27","in Lubbock, TX","Texas A&M (College Stats)","TannRy00",2012,2021
